timestamp,hr0000,hr0015,hr0030,hr0045,hr0100,hr0115,hr0130,hr0145,hr0200,hr0215,hr0230,hr0245,hr0300,hr0315,hr0330,hr0345,hr0400,hr0415,hr0430,hr0445,hr0500,hr0515,hr0530,hr0545,hr0600,hr0615,hr0630,hr0645,hr0700,hr0715,hr0730,hr0745,hr0800,hr0815,hr0830,hr0845,hr0900,hr0915,hr0930,hr0945,hr1000,hr1015,hr1030,hr1045,hr1100,hr1115,hr1130,hr1145,hr1200,hr1215,hr1230,hr1245,hr1300,hr1315,hr1330,hr1345,hr1400,hr1415,hr1430,hr1445,hr1500,hr1515,hr1530,hr1545,hr1600,hr1615,hr1630,hr1645,hr1700,hr1715,hr1730,hr1745,hr1800,hr1815,hr1830,hr1845,hr1900,hr1915,hr1930,hr1945,hr2000,hr2015,hr2030,hr2045,hr2100,hr2115,hr2130,hr2145,hr2200,hr2215,hr2230,hr2245,hr2300,hr2315,hr2330,hr2345
POS00001,79.61464229,79.19589974,78.858783319,78.448190063,78.177146242,78.649629353,79.594992677,80.60094294,81.886504546,82.568572297,82.61679565,81.181387406,79.338162156,77.610280117,75.988823336,74.922518538,73.896652398,73.555646795,73.75909930099999,74.19395955499999,74.231115183,74.123907769,72.989888069,72.673379168,72.741669561,72.583282489,72.048457375,71.991440742,71.27289839100001,70.748497837,70.75331100999999,71.170085223,76.488965944,89.83652536,99.222246705,104.497700258,109.875900519,115.75168030199998,121.20728423699998,122.78516649499998,123.176217642,123.23242254799999,123.832623267,125.6367319,128.180738437,130.695722903,133.077061165,135.020231631,136.653958277,138.56457120800002,140.92446826,143.747114025,146.954128404,150.27354467,153.315224559,155.97353506000002,158.14025212599998,160.516687709,162.85294817,164.74709631899998,166.63358690900003,168.255934664,169.612157777,170.638857184,171.480860899,172.477791403,173.215834721,173.183600627,172.932691988,173.00593208799998,172.356825091,169.158684759,165.532908875,160.085188528,148.959158951,140.14023690899998,133.128324965,127.425047108,121.74389618700002,117.019002022,112.41892041100002,107.79415322,103.94212024199999,101.032238588,98.56852530399999,96.515028746,95.445470024,95.633358361,96.45532654300001,97.03829400299999,97.22694363800001,98.531567626,99.70716003300001,100.416193141,101.83293143899999,102.158798507
POS00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022918365,1.41269862,7.027884042,16.937184572999996,29.326516294999998,43.260761492,56.737216571999994,69.535043318,82.175859192,94.98722873899999,107.38123570100001,119.920433271,132.1711101,143.56577439400002,153.85141047000002,163.121286586,171.844152221,179.70424907900002,185.24163005499997,190.30903641499998,194.756569614,197.679415439,199.212396162,200.247493124,200.677362006,200.31948090600002,199.31884104699998,197.829163661,195.723741415,191.750909216,184.834280148,177.144468861,169.080785699,160.638502764,150.888158115,140.86518454100002,131.08130256200002,120.248582002,108.58641357199998,96.687922389,84.679054488,72.636954347,60.252044357,49.022789489000004,37.668581696000004,25.069087586000002,13.282744475000001,4.748933241,0.023880356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023459309999999997,1.43446046,7.20945518,17.465031472999996,30.19239031,44.526144798999994,58.329985979,71.44504363699998,84.45451549199998,97.728346519,110.57062038000001,123.524273307,136.127279885,147.797055962,158.33314537,167.787396958,176.69700777999998,184.78344875599998,190.51372976099998,194.95340051899998,198.02032708999997,200.07483059599997,201.015635672,201.614852392,201.762261976,201.26973528,200.294735348,199.00143499799998,197.253384828,193.99901796799998,189.077092614,182.257408296,173.948773334,165.24573724200002,155.228265504,144.999264727,135.027480767,123.92415156599999,111.962477003,99.71981329100001,87.304475342,74.796012759,61.989849599,50.480745614,38.862107397,25.851345086,13.662551963000002,4.923851759,0.02078885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019726965,1.178810073,6.822303371000001,17.393219989000002,30.608941465,45.817917502,60.605368676,74.826122445,88.716448938,102.31942737100002,115.43486732399998,128.693885588,141.604422816,153.54746284600003,164.269364477,173.816272588,182.793497779,191.185593578,197.215419269,201.03255378199998,203.15203265600002,204.589666744,205.604081667,206.333801098,206.65331313800002,206.35685998500003,205.623879916,204.624796695,203.206367786,200.30750398499998,195.30667250099998,189.005602144,180.624930502,171.533801525,160.95464327500002,150.33533619600001,139.862733264,128.151925264,115.53245602300001,102.649770338,89.63716062600001,76.25544710300001,63.185435442,51.804410864,39.792179923,25.997125061,13.431040854000003,4.197693166,0.022003103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS00009,95.481315244,92.694127084,87.655730387,85.235746318,84.39388463399999,83.848198073,83.795464729,83.80902207700001,83.274858402,83.293960194,81.956830203,78.881527113,75.868188058,72.095302093,68.066168702,63.809931529,60.131718249,56.15950063299999,54.650027028000004,53.0632389,51.138654479,49.489482066,47.532077555,46.965704994,46.669956769,46.628219321,47.292709046999995,48.641465799,50.288712901,52.560538349000005,53.31499480599999,56.986003876,64.448316168,68.808741444,70.170402472,73.773494882,77.88643662499999,82.790177706,87.84899563299999,89.78738391499999,91.809343784,93.557539957,95.20013150399998,97.688262824,100.746573501,106.75089925099999,111.747104132,114.14331721299999,116.268770619,118.143579509,120.188474364,121.76386231099998,123.41345602199999,124.74328513,125.649866628,126.25893909300001,126.92509010200001,127.70677115599999,128.508685477,128.999872226,129.519644366,129.988067296,130.31577640100002,130.56030540999998,130.72652927299998,130.887367961,130.955958092,130.805631861,130.419559547,129.60884804,127.847056039,125.95097535100001,125.35421308,124.416034914,122.092237809,120.331348473,119.281575885,118.085404596,117.216394116,114.65268040800001,111.38143103199998,107.91291123799999,103.96163891400002,101.64374988399999,99.55737043699999,96.96381928599999,95.13413815299998,94.86189825599999,95.169405133,94.83057558899999,94.15141981299999,94.528457404,94.429460833,94.607139034,94.699871394,95.082054625
POS00010,67.32181922199999,68.178007244,69.551990272,71.64901061799999,73.98722208699999,76.11608219600001,78.038280546,78.944750004,82.179116367,84.64292847499999,85.613024816,84.956591265,83.68079784700001,82.46045996199999,81.065034462,79.29249784299999,77.17066183,75.18564375,73.385877901,71.795680956,70.122260633,68.316395823,66.815236355,66.023404822,65.59402686300001,65.20882294799999,65.180668178,65.831928296,66.970240006,67.71298598,68.569010451,69.65792138700002,73.266831851,84.680292501,93.687178605,99.072552697,104.44567013099999,110.427496128,116.21386924199999,118.152584467,119.523342621,120.81601204,122.617372473,124.78400852799999,127.427778595,129.98710593200002,132.273916538,134.074553368,135.618195787,137.373072434,139.36925784599998,140.779975015,142.149922124,143.417823029,144.828449142,146.683750975,148.37384583800002,149.94797423400001,151.784139162,152.52152462799998,153.171871231,153.995345896,154.57319292600002,153.941610882,153.31705431999998,152.812887427,152.112814765,151.962739435,151.370891236,150.482274943,149.17989848300002,144.57109824600002,139.54628595500003,133.60311843199997,124.836277913,117.100436287,110.64395912200001,104.210579458,98.688963239,94.033215224,90.66711933799999,87.03262764099999,84.19428869199999,82.970120783,82.03405529,81.44424430800001,80.71777355,80.837608864,80.493892773,80.425100369,80.369900571,81.865534021,83.729129059,85.306642372,87.419497123,87.998994286
POS00011,59.913922660000004,61.675027672,63.767994345999995,64.029868189,64.01316963599999,63.75791588300001,63.01293922800001,62.709639909,62.398418561,61.79585831400001,61.188805390999995,60.879681993999995,60.474777790999994,60.07673270699999,59.619421548999995,59.047426013,58.547469912000004,58.299533999,58.242226093999996,57.902641552999995,57.531123363000006,57.364697334,57.593032889,58.111489547999994,58.65820007000001,58.98449333999999,59.028093698000006,59.01576154999999,58.789099711000006,58.580077641,58.760108294999995,58.38216242200001,59.883487824999996,66.491905134,73.363723534,80.554378937,86.94588830699999,92.88571053300001,97.993586796,98.653339981,99.280293152,99.40795537599999,99.55469112899999,100.06725559900002,100.88812139199999,101.461068881,102.07356349699998,103.49826622399999,104.79763727399998,106.071560198,107.30210761900001,107.99116244699998,108.67347262,109.162629173,109.488172324,110.052164668,110.658348233,111.093371167,111.465552971,111.188476055,110.94184926,110.99534203,111.21771803699998,111.92567628600001,112.581383099,113.316352057,113.97868954999998,114.21352959999999,114.578758424,114.68341684900001,114.86215597399999,112.685810288,110.311866462,106.60183136699999,100.22858800699998,94.508021323,89.79589065,85.41729845,81.159825186,77.291384939,73.716046301,69.317171642,65.971017227,65.39173703499999,65.11221573,65.12859356999999,65.29112049599999,66.13306518600001,67.30472312,68.196754359,69.18049128,69.73425585700001,70.37777073,71.045536897,72.032684889,72.599348796
POS00012,85.147523114,85.76217869099999,87.51714614299999,90.40147434699999,93.824879166,97.39430487,100.446661138,102.025354494,103.65420840499999,104.324386188,104.37515889299999,103.49305724199999,102.237360175,100.59513563899998,98.242850937,95.175614967,91.903215139,89.144774551,86.738681206,84.92909115,83.23313017499999,82.233706374,80.86232861,81.67569144500001,82.601308887,83.032168235,83.610610981,85.07107629000001,86.89286464999999,88.359147492,90.381641774,91.85435158199999,97.445465175,112.00215315599999,123.122722551,128.958112313,134.80233661399998,141.488987948,148.190626356,150.29131373599998,151.860607153,152.92583098400002,154.14748799999998,155.91086619,157.952232442,159.98489945400001,162.518652187,165.22122454499998,167.79592061900001,170.702127101,173.91940189899998,176.462196825,178.933685922,181.45883248299998,183.97601799400002,187.079643514,189.928484207,192.47738157499998,194.516276742,195.24890266999998,195.837437581,196.636243103,197.09895371699997,196.204999376,195.31895484299997,194.51514868499999,193.655018701,193.49417127899997,192.734032931,191.8039154,189.789003542,184.512477389,178.56793101199997,171.699354699,161.41207476099999,152.10093288599998,144.446925625,136.76797851700002,130.152564455,124.49917938799999,120.380384805,115.848626266,112.17454459000001,110.566983975,109.252581021,108.62486944999999,107.89938053600001,108.597499581,108.807002393,109.464594901,109.950050694,112.260602231,114.98482407499999,116.90028589399999,120.068367676,120.60534806199999
POS00015,70.80676423,72.439170262,74.499762819,74.421735074,73.799459871,72.51309840100001,70.934159293,70.11750303599999,69.62351790600002,69.450168782,69.133544364,69.05012372600001,68.568495685,68.02169867,67.455698203,67.16836438300001,66.99171342099999,67.179485467,67.713833286,67.76113186,67.67836995500001,67.694951973,67.650730597,68.470441738,69.39731790900001,69.93311176400002,70.39018011200001,71.074691401,71.652193809,72.191677541,73.47966010900001,71.97899877800002,73.585355163,82.126405719,92.143487395,99.30905464899999,104.70370314400002,109.109404353,112.488006074,113.01267581900001,113.320931963,113.29059337400001,113.222470228,113.666370692,114.39792983899999,114.960439553,115.552100191,116.42859171,117.161907483,117.65006629,118.09353424700001,118.25993141400001,118.41021810400001,118.378879949,118.27366174999999,118.21905410600002,118.141163683,118.09199084499998,117.94802966399999,117.64834047400001,117.30458440299998,117.408234354,117.762439728,118.614795484,119.51224639799999,120.472949838,121.731909169,122.239109141,122.76798931100001,123.183688155,123.30557262800002,122.343597364,121.039394625,118.00748541800002,111.90395230300001,107.200410868,103.41044908900001,99.49268592400001,95.253028109,90.86804069600001,87.13720977400001,83.203637384,79.971837753,78.899309934,78.371173068,77.949940209,78.017045873,78.53321008900001,79.73601020100001,80.36901292799999,81.196367313,81.79956281300001,82.606328433,83.548989293,84.93359767700001,85.71526103400001
POS00016,67.943887305,68.66281146700001,69.52978481400001,68.318045175,66.890169703,65.543504571,64.299391109,64.208104791,64.364587509,64.682276579,64.75269363800001,65.06577049900001,65.011495894,64.89138096799999,64.83551334399999,64.665645266,64.62743498100001,64.62019566999999,64.518851885,63.926885565,63.003735690999996,62.63372017100001,61.949784687999994,62.690988209000004,63.795712747,64.92510762799999,66.013688367,67.293385745,68.484474387,69.707328038,71.005713398,73.387596297,77.73294979100001,86.17585952900001,93.901465,98.64039332,102.27611944399999,105.227732041,107.556505346,108.20319617199999,108.99173942499999,109.662551731,110.12118048200001,110.64110421499998,111.174469021,111.581829957,112.46510317599999,113.50835670100001,114.583935401,115.60722259799999,116.635054804,117.562991386,118.540499992,119.369918618,119.993311833,120.517345983,121.05478674,121.43799446999999,121.71470195999999,121.773235045,121.837057873,122.285109535,122.896595978,123.785497038,124.37578878400001,124.91341155900001,125.49173556,125.79964657800001,126.15606996900001,126.10826427999999,125.70482238900001,123.672182555,121.30813538499999,118.11802932199998,112.824264494,107.721443229,102.807023245,97.90329886800001,92.88340511400001,88.61132915399999,84.50180338400001,80.643090596,77.168820633,76.406704168,75.805216956,75.284425533,74.995421615,75.379853185,76.472609237,77.254103502,78.26646923300001,78.596124931,78.910431069,79.54331797700002,80.577294146,81.39761118
