timestamp,hr0000,hr0015,hr0030,hr0045,hr0100,hr0115,hr0130,hr0145,hr0200,hr0215,hr0230,hr0245,hr0300,hr0315,hr0330,hr0345,hr0400,hr0415,hr0430,hr0445,hr0500,hr0515,hr0530,hr0545,hr0600,hr0615,hr0630,hr0645,hr0700,hr0715,hr0730,hr0745,hr0800,hr0815,hr0830,hr0845,hr0900,hr0915,hr0930,hr0945,hr1000,hr1015,hr1030,hr1045,hr1100,hr1115,hr1130,hr1145,hr1200,hr1215,hr1230,hr1245,hr1300,hr1315,hr1330,hr1345,hr1400,hr1415,hr1430,hr1445,hr1500,hr1515,hr1530,hr1545,hr1600,hr1615,hr1630,hr1645,hr1700,hr1715,hr1730,hr1745,hr1800,hr1815,hr1830,hr1845,hr1900,hr1915,hr1930,hr1945,hr2000,hr2015,hr2030,hr2045,hr2100,hr2115,hr2130,hr2145,hr2200,hr2215,hr2230,hr2245,hr2300,hr2315,hr2330,hr2345
POS00001,142.303517922,141.826814543,141.456406179,141.455476224,141.594372529,141.569910572,140.840143552,139.663902392,138.277035195,136.54741937800003,135.131596103,131.565581156,127.973321058,125.100827081,122.687736637,119.64889403999999,115.51433608599999,109.950813749,105.30645317100002,102.48766111699999,100.94968021300001,99.21772355499999,95.45340896299999,90.010974311,83.52165183299999,78.217546093,74.85112164,71.816058293,70.08963132800001,69.085204671,68.548913701,71.068201933,74.580089518,78.530957666,83.258323221,84.06439008999999,84.58036751399999,86.125098516,86.979443232,85.747265204,84.87096706700001,84.74444584900002,84.84106486499999,85.243929518,86.050331,87.31345834,88.991133925,91.982920736,94.864326857,97.954499251,101.244007643,106.43651498900002,112.263998645,118.63351429,125.630720215,132.97228819,140.804220601,148.798419801,157.30488881300002,164.81280064400002,172.209424186,179.343023483,185.96633722299998,190.66741233200003,195.036362763,198.999867261,202.57856107,204.729034438,206.831842703,208.258965754,209.638943053,209.032413611,208.01688964,206.684991858,204.930150781,201.65776689299997,198.12839528700002,192.138443688,185.47989354099997,179.485333881,174.09968245200002,169.39429778,164.61147250099998,162.502345876,161.173564106,158.744436812,156.465000783,153.58773620899998,151.709765622,149.875754234,147.46040636600003,146.168507886,144.532629376,142.80866090900003,141.754517203,141.659220889
POS00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020453179,0.221878157,2.556554092,10.754302893,22.208866078,35.826474315,50.692212376,65.518659357,80.306833333,94.910124822,109.400678086,123.87078346799998,137.705133445,151.127595746,164.130909939,176.68196667,181.608315404,185.947603243,189.719006588,192.37735029499999,205.410453739,217.750927096,227.94012973699998,231.013519432,232.02288189499995,232.65302113299998,232.908361816,232.68940155599998,232.127395079,228.998038367,225.505768177,220.84815066,215.60449444900001,192.477761813,169.152672255,162.07546012799997,155.196636135,148.012940247,139.24230588599997,130.491177413,118.81559981299999,117.09653955099999,110.232344509,96.129311782,86.332691545,76.618393259,66.075974421,55.19352259200001,43.947904376,30.779559624,18.421907869,7.763279376999999,1.2851278890000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021209580000000002,0.22926546,2.7095593470000003,9.986318946,18.826476621,29.612415225,41.680514233,53.844116357,66.186798906,78.07085425300001,90.21476854200002,102.605773564,114.33298858399999,125.771780674,136.34349336600002,146.65764217,149.310236353,151.685973856,153.60360800200002,154.570611076,166.115375636,177.438383054,186.225339407,188.457664513,189.73485403900003,190.575605834,190.83245561,189.990906553,189.25759095,188.58679678599998,186.866294811,182.03132386,176.13059875099998,148.461471248,120.63577137700003,113.882772053,107.15570409900002,101.10500777300001,94.80003423699999,88.895070326,81.361702724,80.121534888,77.834889161,70.071778348,63.219039116,57.185939344000005,50.498202538,41.663489156,32.611797812,22.876298762999998,14.191660501,6.182354297,1.360364338,0.000255928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017219895,0.19650938999999998,2.5963303509999998,11.353797104,23.819334739,38.824849561,55.301247962,71.76167457999999,88.26002053,104.41651844199998,120.33156499499998,136.185625072,151.26089289200002,165.84333531899998,179.998912777,193.74196785200002,202.91517351099998,211.61612471100003,219.712958558,226.335265536,232.470701285,237.63295240800005,238.30331279100002,238.80512079000005,239.13959192700003,239.31219605100003,239.32576938000003,239.23987249200002,238.92667299000004,238.45039095300004,237.81548329500004,236.54647832700005,230.47635785700004,202.841981999,174.84790062500002,167.655567947,165.573086498,162.02008722099998,156.69476942100002,148.26433513299997,136.825483501,132.33305565400002,124.71902089900001,108.836892897,96.03188199599998,84.702058839,73.04882267100001,61.893852067000005,48.445954952,34.703778506,20.82925981,8.805615399,1.484983969,0.000583577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS00009,164.85985697700002,162.444143035,159.977260413,159.417903049,158.90002454300003,158.208886515,157.42749459200002,157.00776545600002,156.30604602499997,155.271518964,153.594943431,148.413078936,142.955649755,135.73915819100003,128.419853189,120.68381486900002,112.17231956200001,103.912005091,97.29739792000001,93.336395668,89.351098078,83.83768889800001,80.108131814,78.123417445,73.702035566,68.939475191,64.67461032199999,60.056335110000006,56.51443091,53.837271357999995,51.644450864,52.379925056000005,54.03763880899999,57.208911107000006,59.911344707,61.670430712,62.69334116,63.563334773,63.861726793,61.55782158800001,60.555203666999994,60.557270267,61.375577545,63.327095866,66.336512992,70.865239353,74.90336611,81.51707932899998,88.198317422,94.90469040300002,100.785913084,111.47467516500001,124.613826103,133.34040206999998,141.838637383,151.110099641,160.805249789,170.086517446,180.17248727700002,187.410111333,193.165933005,197.47401032300002,200.689563572,203.03328015099999,204.930695486,206.390339261,207.482924127,207.98135833999999,208.38894491000002,208.56677696900002,209.008015491,208.75357614399996,208.456875629,208.09648817099998,207.53320311000002,206.91059819999998,205.887187789,204.094614999,202.72272708999998,201.202173546,198.901769402,194.492052045,193.12757982,191.58168003,189.49571766900002,186.80461225,183.33030989500003,179.81807333400002,176.308286394,172.31096245500004,167.907763152,166.338063342,165.28981286,164.242769678,163.43102222,162.834277562
POS00010,126.36290933800001,125.73600727799999,124.909226832,123.94410971799999,123.048948082,122.24232858200001,121.40900933600001,120.257145654,119.112615592,117.978564898,117.249653512,114.13587533600001,109.68162385800001,106.25235201800002,105.05426732800001,104.9473691,105.09152034800002,103.45033578399999,100.935396852,98.19020726600002,96.241285612,93.63943832999999,91.11337780800001,86.874157796,82.32400957,78.23180402800001,75.399837038,71.99471433400001,69.72351768000001,68.422839424,68.11623827199999,72.37417757,77.61862101,83.311932334,87.820648116,88.339028722,88.248160886,88.114632948,88.24720543200002,89.023810678,91.515438152,94.474412282,96.654385834,98.24778622,98.76574935,99.547368778,101.5436936,105.502201088,109.200083664,112.65687739,116.489375562,122.41107455000001,128.90289449000002,135.84197178000002,142.534187728,147.360961656,152.018623658,156.637688942,162.45352530600002,166.42346784,170.770580158,175.163402464,178.904060742,181.657315216,183.48004185,185.215063922,187.366530674,189.496098436,192.068076502,193.810325942,195.09669531800003,193.06742999000002,190.29185640600002,186.825259896,183.21631957000002,176.952174878,170.809398472,163.484339906,155.584216884,149.36821,143.328883376,137.478813996,132.446964936,131.437001328,130.668817026,129.27188247200002,128.237408316,126.409731024,125.237757872,124.25661776200002,123.11966426600002,121.699892446,119.76349738600001,117.692736418,116.53986114199999,118.09792818999999
POS00011,109.47240982199999,109.980223299,110.32479870099999,109.711891247,108.71093273599999,107.70342203199999,107.051021414,105.26584878099999,103.77953488799999,102.028268346,99.67915770700002,96.264546429,92.236943048,88.053002154,84.72757463999999,83.49542054199999,83.301091063,83.344487397,82.050412632,79.782341198,76.173899061,72.389285046,69.691747341,69.256850532,69.770192252,71.08325047099999,72.32537638599999,72.17145266899999,72.171084454,72.92642094600001,74.220241485,79.21576930500001,85.210674498,91.424292716,96.55626096599998,95.67785970199999,93.045952149,91.17055616599998,90.694791193,91.352587136,92.54819295600001,93.52650773399999,93.939370594,94.74767869300001,94.908584729,95.59471483,96.431462272,98.38336790400001,100.30358056,102.46907673200002,105.191225301,109.79537006899999,115.01992671099998,120.297330973,125.196542886,128.99440368999998,132.239113851,135.084985759,138.084270017,142.057838277,146.397998615,151.049534756,155.751875007,158.76639076200001,161.44897724,163.90639414400002,165.76128679599998,165.71738464499998,165.143784056,164.20666728199998,163.477129602,161.377493171,159.26178646299996,157.334559903,155.396713012,152.027680663,148.745806547,145.679587419,142.83684712099998,141.19829163999998,139.31678182000002,137.15109619199998,133.84670528799998,130.394378076,127.380836191,126.00353516899999,125.370613184,123.339383621,121.47094631599998,119.503813641,116.95849191,114.54831767300001,111.49951654300001,108.865588921,107.458264345,108.33596451199999
POS00012,158.19015656,157.36080112000002,156.325758011,155.142412876,154.12883984,153.141839948,152.085309935,150.52823660800001,149.057598046,147.535828574,146.284481667,142.43409015999998,137.399980606,133.340045139,130.67127845,129.704167814,128.79491638300001,127.20622769600001,124.914873271,122.355228557,120.78225581299999,117.983287342,113.16550911499999,107.152306615,101.089728541,96.194596697,93.293901926,89.74212085,87.521920312,86.39482871300001,86.646550224,92.474791489,99.22687166600001,106.30827836400002,111.726050384,111.919422455,110.815477143,110.197019746,110.481627214,111.710454365,115.01677542399999,119.103397903,122.15109565099999,124.10897624999998,124.495060085,124.76888380999999,126.61486385399999,130.968822502,135.23761631,139.45831899900003,144.180152894,151.00645747,158.59566077199997,166.61357663799998,172.910944365,177.492462508,182.023658118,186.753244923,192.781296724,197.720918453,203.440990392,209.229556757,213.962074889,216.606789722,218.25659181100002,219.853736201,221.800627192,224.135679163,227.059745762,229.06514450900002,229.74001766100002,226.47767695500002,222.293124352,217.621140709,213.56894510499998,207.49981532500001,201.835356888,196.29514719300002,190.45299680800002,186.746369049,179.480990251,172.72082912,166.90835589200003,165.18507306499998,163.951301261,162.19285232500002,160.954832283,159.11698652899997,158.15266743600003,157.248779074,155.909040962,154.447669528,152.32789859500002,150.075342219,148.605493994,150.00932115799998
POS00015,165.644240782,166.730920374,167.62451044099998,166.91175553,165.872943817,165.17905646599996,164.67254190100002,161.837270765,158.901479927,155.50212338799997,151.832316367,147.25634952399997,142.305173567,136.492300489,131.277853283,128.31572954400002,126.643084044,125.27764352300002,123.430902116,122.07083058399999,119.452478904,115.47830862699999,111.843567514,112.022266282,113.28865815,115.203859651,116.682567286,115.42642477700001,114.840137467,115.061522784,115.599930382,122.38308958399999,129.88461065899997,138.52891419899998,147.128768316,147.590701654,147.365205656,147.48409851899999,148.317736421,149.345201881,148.360001595,149.533726236,151.175160263,153.85250397800002,155.80903754899998,157.970552483,161.27150436,165.29003854,168.548342859,171.35862331799999,174.905220325,181.52752288399998,188.829460977,196.12946932,203.098983233,208.88680141400002,214.463625129,220.00110471399998,225.73326421199997,232.414347174,238.68145667,244.910816625,250.401179906,254.58774283900001,258.095498984,260.846043231,262.852107247,262.94684449199997,262.492389468,261.893895332,261.244036416,259.26583704200004,257.254598359,255.29148915,253.200831463,249.513222032,245.17012738,239.30523854899997,234.56682697500003,230.916713809,226.065329764,220.491941173,214.181159672,209.29270732700002,204.859439379,204.100264739,204.55436638300003,200.09201344700003,195.783793439,191.519672964,187.218029062,184.250298564,180.248801801,177.394587632,174.271434724,176.651880833
POS00016,139.19027172190002,140.3894505943,141.25324780039998,139.6507945348,137.4617565686,135.27136647880002,133.6320688027,130.5721450481,128.1218755482,125.55235287170001,121.84546638930001,116.5121317599,110.3413882454,104.4820059106,100.1861980228,98.1267215732,97.34750033030001,96.65336878129999,94.07781102780001,90.049436199,84.3187471802,78.93784665220001,74.3440554611,73.7084028552,74.3846500641,75.82642928630001,77.57031804,77.9965745698,78.4075620122,79.4230485814,81.10082569020001,89.6078664323,99.45866218990002,109.29754218640001,118.6651666373,117.84742391660001,115.50522769970001,113.54208839530001,112.7284068341,112.8416679433,113.7298255862,114.82433045479999,115.22709369609998,117.49204637180001,118.82816360800001,119.9411112883,121.48918736430001,124.28103825600002,127.2086702117,130.71021949,135.03498288880002,142.6287364094,151.131088519,159.5772083292,167.3630977486,173.38290428649998,178.54400591430002,183.2096927564,188.1746933266,192.80343418030003,197.6932644404,202.8063187708,207.81251980009998,211.77665011040003,215.7244366485,219.34479693440002,221.87456287100002,221.87476917959998,220.8612196603,219.18523641069999,217.0496847905,213.6767773295,210.3844504672,207.2841325461,204.0595954966,198.9145276173,193.49334523799996,187.8025737953,182.10232148,177.54100401020003,172.8121742682,167.469898905,162.3974675609,158.931390506,155.319296581,152.1756189116,149.44374382310002,146.1647512291,143.4481174914,140.8325251923,137.1227252058,134.3266906414,130.62332840620002,127.43608534060002,125.5720317089,127.04457782280001
