timestamp,hr0000,hr0015,hr0030,hr0045,hr0100,hr0115,hr0130,hr0145,hr0200,hr0215,hr0230,hr0245,hr0300,hr0315,hr0330,hr0345,hr0400,hr0415,hr0430,hr0445,hr0500,hr0515,hr0530,hr0545,hr0600,hr0615,hr0630,hr0645,hr0700,hr0715,hr0730,hr0745,hr0800,hr0815,hr0830,hr0845,hr0900,hr0915,hr0930,hr0945,hr1000,hr1015,hr1030,hr1045,hr1100,hr1115,hr1130,hr1145,hr1200,hr1215,hr1230,hr1245,hr1300,hr1315,hr1330,hr1345,hr1400,hr1415,hr1430,hr1445,hr1500,hr1515,hr1530,hr1545,hr1600,hr1615,hr1630,hr1645,hr1700,hr1715,hr1730,hr1745,hr1800,hr1815,hr1830,hr1845,hr1900,hr1915,hr1930,hr1945,hr2000,hr2015,hr2030,hr2045,hr2100,hr2115,hr2130,hr2145,hr2200,hr2215,hr2230,hr2245,hr2300,hr2315,hr2330,hr2345
POS00001,132.18324743600002,134.556039371,137.512595047,139.922086402,142.962933807,146.68551453499998,151.17935523900002,155.980635264,161.313710909,168.14788734299998,175.59931812500002,184.10405462,192.323458183,200.306167184,206.45063340000002,210.691026683,213.093741449,214.122428639,215.46992496299998,216.77651196799997,218.624061498,220.7323609,222.421228537,223.74498099,224.64514732599997,224.941218406,225.476078218,226.122912775,226.88052455499997,227.12890948799998,226.246244215,223.866797413,220.01688169099998,216.46870364,214.49609940300002,215.959320345,218.23690034899997,216.839194583,214.667562183,211.235044739,210.703243535,210.768384036,207.883525911,202.86310745899996,198.275826,195.15047306399998,193.90032680299998,194.538634809,194.893295411,195.10000531600002,195.44532913299997,194.705975535,194.002230618,193.42914223999998,193.039717814,192.504131322,191.701653134,190.491024754,189.477090346,189.46164565499998,189.341745801,189.21599876200003,188.658989468,187.390429252,185.663272161,183.77948014100002,182.044754278,177.97916444999998,173.724731847,167.761411514,158.68003532999998,157.36013491699998,156.655080419,156.288232407,156.140276675,158.642429475,160.960555887,163.25546256500002,165.42773782199998,167.656181986,170.087234546,173.674583369,177.58807281100002,182.384524379,187.40481460400002,191.975048131,196.179135256,198.83104013899998,201.298646331,203.22519376099999,204.48350223999998,202.227765502,198.912902879,194.810248032,190.583672165,188.337337699
POS00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089518455,2.788748861,9.679257926999998,25.629010081000004,43.020375726000005,57.267030534,71.512380332,85.29162168,98.566918751,111.02574671900001,122.354641731,132.98093953900002,143.28949812300002,152.44622337700002,159.916718145,166.501517134,172.435676178,177.77548067700002,181.375005304,184.52205178100002,187.01654870700003,188.46743683700004,187.815885661,187.30930368499997,186.122742637,182.649783183,177.43784854800003,170.808691137,163.66480494700002,156.48793171700004,147.40227065,140.921157705,133.65501795,122.289605428,110.087799825,92.677637938,75.153570067,61.32657263600001,46.609251968,47.78458811,39.518682564,13.746092324000001,0.021980364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09162344400000001,2.683932573,9.591146875,23.61460339,38.831639003999996,50.91212232400001,63.569872637,75.818423382,87.756091725,99.36708953499999,109.80219647,119.64160952899998,129.305994005,138.07658806799998,144.835775671,150.92255670100002,156.545801671,161.814550105,164.94990964599998,167.77010101599998,170.15789763799998,171.8469739,170.783226968,169.84170407,168.444188119,165.250864448,160.235677579,154.239672851,147.913371754,141.542190596,132.75122314700002,125.86412475,118.39539796400001,107.93015960700001,96.645000962,81.830013636,67.005004672,54.665587426,41.712441692,40.681455341,32.162995437000006,11.486816338,0.034301619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06704278999999999,1.986464699,9.096437395999999,24.908404857,42.182367542,56.198504669,71.07609947,85.378502555,99.23672921900001,112.64600128900001,124.847605896,136.239608487,147.163743696,157.453426301,165.401343147,172.62403074500003,179.327578554,185.59596780699997,189.28233458900002,192.562776686,195.31403056600004,197.273939854,195.30711580400003,193.38059785800004,190.90280019,186.70869951,181.310303793,174.965042785,168.140893186,161.223208985,151.757555339,143.976603513,135.81884549100002,124.653003392,111.5849986,94.85303297700001,77.973940703,63.615790683,49.01470611799999,45.38171498900001,34.142924427,11.567049809,0.046163152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS00009,196.827352625,197.801157921,198.580692485,198.705751281,198.715333141,198.62706044,198.601934433,198.224054755,197.76161014900003,197.382195792,197.723209258,199.202882142,200.85001971400004,202.301969794,203.658751127,205.086899894,206.561732823,207.385299029,207.88548829799998,208.19486419199998,208.43508093599996,208.547393659,208.582138786,208.556366256,208.52048526500002,208.474174379,208.437861367,208.342083065,208.038048951,207.689834372,207.474870896,207.25833367,207.01203785799999,206.653334314,206.42450038199996,205.700627895,201.56014688100004,195.304566577,189.940711573,186.749658257,188.52912232300002,187.509408427,180.73243467800003,177.496335252,176.15739340599998,173.77649223400002,169.65307927,166.137700946,163.07081354,159.56548112700003,155.966090256,153.884606223,152.333903917,151.33679666400002,151.293555964,152.755862436,154.875936883,157.319154693,159.91873454,163.66856490700002,166.219672104,168.786165778,171.212122599,172.464292293,173.277426673,174.488112961,176.917063435,176.833609577,175.45001915300003,172.20452798,169.808627684,170.682372315,171.50297071799997,172.196072879,172.56254697299997,175.221857972,177.875792561,180.218168496,182.270124607,184.001638376,185.563108105,187.267149069,189.070228263,192.824930019,196.146490705,199.039139728,201.490128518,203.111521226,204.937153299,206.061243892,206.742279682,206.89631861599997,206.940931656,206.845158331,206.718698709,206.894082578
POS00010,120.468459077,124.857987084,129.389412387,133.897977695,138.186868815,142.892454165,148.195496918,153.53728991399998,159.344307048,165.438953891,171.664589404,178.175641678,184.924106762,191.195706305,196.210176773,200.695126845,204.516167,207.579197163,210.317647448,213.03544440000005,215.637265593,218.059547307,220.10351141700002,221.590771748,222.737648546,223.66135749999998,224.293851667,224.455601055,224.414864678,224.12188456,223.639782544,222.16193217699998,220.445687423,218.89328236200004,216.996296733,217.315722991,216.526610245,213.97799061,211.029675771,207.21125313100003,205.21055914200002,201.99209175,199.136125381,195.18569197600002,190.19643382200002,187.375948683,184.640256883,184.593625753,183.94966130400002,183.84599866399998,184.388401409,183.265037591,182.15885405799997,180.478286292,178.637363977,176.729055383,174.78365936400002,172.75787629,170.72865306199998,169.41384137300003,167.991295686,166.519030958,164.909561375,163.26479967799997,161.730100095,159.870111296,157.789821378,153.241819036,148.29088501,141.77952155500003,135.506892418,132.93168664,132.71261228999998,134.74222931900002,136.01131132199998,140.28962021200002,145.20171685300002,151.64679428,156.099490891,158.627607401,159.608045974,160.554060031,160.38079912700002,161.626278866,163.01263912700003,165.125976067,168.325498771,171.747724071,176.259518442,180.89082383100003,184.45537167000003,183.844560813,182.107783629,179.261930524,176.417306918,175.150947309
POS00011,64.26458479499999,66.1919983512,69.0320838838,72.561572919,76.63667546779999,81.5051071036,85.49266380199998,89.59806104299999,92.5670381348,95.2779642246,97.8076875452,100.266878789,102.69883742260001,105.04296909559999,106.5613266188,106.9007258456,107.1778637766,107.4785152146,107.4698290346,107.82085044659999,107.65202359,107.17224978520001,106.84985449959999,106.4160163706,106.03068221080001,105.75493482179999,105.94132712919999,105.72214718619999,105.7833165568,105.829189779,105.42017173459999,103.9210645876,101.95883667179999,99.83088933039998,98.3688210488,98.68325185159999,99.17932254039998,99.2424583734,99.43953835699999,100.96731660399999,101.240755376,100.9445912004,101.07783955939999,101.71392899119999,102.4248226822,103.63173869959999,104.85184104579999,106.7844827,109.16861397899999,111.74001085839998,114.29109632539999,113.8304207196,112.915776588,112.0065411626,110.7942026382,109.3132486858,107.60651869899999,105.9406855946,104.0695615034,101.5355575942,98.93803391099999,96.1319284768,92.73300775619998,89.74755901059999,86.55746068900001,83.4432044754,80.3086485868,77.0764594114,73.74844168179999,70.2854779462,66.7001205574,65.4203429284,64.05815664299999,63.110069157400005,63.269277054599996,64.3689137898,65.802047269,67.1022359514,68.24914885359999,68.305913378,68.5821846346,69.43333533539999,72.39913074580001,75.54620294360001,79.74545121300001,85.0550421196,89.2451691102,92.6954012822,95.1641362732,97.24390206699998,98.7843520676,99.80094412500002,99.85966633359999,98.89658714199999,97.68404426299999,93.9254307878
POS00012,141.4489566588,146.0541195838,150.6917001772,155.0339795204,159.1510589156,163.90664376099997,169.667477778,176.1695360116,183.5779175278,191.4558725172,199.8141801394,208.29288910379998,216.71190884319998,224.26518339,229.89325810399995,234.74841859600002,238.872239049,242.51717985800002,246.282103567,250.048034471,253.713201739,257.26819333000003,259.95894142599997,261.863704654,263.294994897,264.418368373,265.134121414,265.02637602699997,264.633528239,263.88398839999996,262.86887742,260.425399748,257.68271442599996,255.21975402699996,252.908202507,254.03850252999996,255.62377472939997,254.22753922879997,252.0103775702,248.2032011298,245.5787335148,243.18550058839998,240.14492908640003,235.63092512839998,231.70424479780002,229.14071588520002,227.4509912538,229.37555853840004,230.9392751354,232.606492827,234.3163688386,232.8833705476,230.9205522084,228.74435479079997,226.7618581876,224.761169465,222.7743295012,220.324429661,217.88786357339998,215.3240502028,212.65274689039998,209.80343374679998,206.827918227,203.916554126,201.0603021242,197.713348238,194.011352,186.800831095,179.487876297,171.48655987520002,163.92298543799998,161.2200214222,160.324286421,160.154852711,160.5128581738,164.716657597,169.247334217,174.11906742899998,179.473184716,180.87196732799998,180.79962089999998,180.92574029099998,181.269038406,182.420477242,183.750543777,186.10894428,189.996159061,194.576160728,200.669762855,206.85126243499997,211.52627005,210.81017976099997,208.26414334799998,204.35778949399997,200.399861581,197.655302478
POS00015,76.4679553133,78.00353719719999,80.07631879069999,82.5127489453,85.2890816167,88.43066992109999,90.9097029671,94.0002918393,96.41734645560001,98.69979194159998,101.1719254933,103.37430444089999,105.4597023813,107.4641808068,109.0975510298,109.6188363751,110.05527781819998,110.39585800039998,110.3703706795,110.698308924,110.4524164802,109.88161055759998,109.5397851864,108.97694213969999,108.4394931278,108.0186748074,108.11066176989999,107.96634817969999,108.1300817746,108.2426014785,107.8457853841,106.15514778280001,103.95387613469998,101.2972263753,99.06062713979999,98.92708534309999,98.68668320859999,97.7914161373,97.1123430345,98.82679594390001,97.89436022589999,93.1927820257,92.74244574830001,93.17424066720001,94.1216869353,95.27663399229999,96.1488003728,98.1761284595,100.59192170729999,103.1269286256,105.5877390978,105.20275631909999,104.41224980499999,103.56528845230002,102.46201264579999,100.8400065254,98.79158412119999,97.3663449752,95.78048813660001,93.6542125842,91.64580333459999,89.7033663054,87.4338253153,85.52659635479999,83.2793413809,80.90984848389999,78.3536519449,75.612627528,72.64614204429999,69.4768546776,66.0279511603,65.6293121959,65.3108523458,65.199392729,65.47422930959999,66.486918109,72.5501527366,74.6504792618,75.997306901,76.33446296609999,76.8318648703,77.6600740987,79.89220615779999,82.2684704308,85.65409329549999,89.74101783060001,93.0334192461,95.7568393966,97.750774219,99.3598485823,100.56632861509999,101.8046691289,102.3813026934,102.22501515980001,101.5403772973,97.86032214740001
POS00016,103.10860661230001,105.69608501460002,108.9656745256,112.9389387051,117.3172885086,122.1123201318,126.1699386591,130.1674877358,133.2547888037,136.175893373,138.8302816483,141.92292728980001,144.9296784969,147.7860623499,150.1441601081,151.1428192285,152.1073664475,153.04457139060003,153.5170112498,154.78691673359998,155.2694822933,155.1917246008,154.6028445368,152.9382798704,151.3681977769,149.935782752,149.09315833699998,148.05867573030002,147.4744792656,146.87883807080001,145.719076714,142.8060272624,139.2677021861,136.43966406549998,134.05826174319998,135.0946107269,136.4919133624,137.7445641153,138.7929827771,140.418382399,140.69050566,140.10957698139998,139.8352930977,141.862245357,144.0642495532,146.083034948,149.5166822898,151.7342509151,154.3193939073,156.8376105676,159.1367649751,158.5518668505,157.5531479326,156.5385069113,155.2278061088,154.601949927,153.7685013185,152.3429124376,150.71898791569998,147.0730231368,143.5018639255,139.88862204,135.8521721655,132.8226477861,129.440767975,125.9621379815,122.32768669089998,118.45243197270001,114.32116311009999,110.01496830560001,106.2924759711,106.0404336421,105.69201600870001,105.93250952239998,107.68050767560001,108.3504310469,108.9962389057,109.8613005167,110.6777804479,110.2597020058,110.04948947529999,111.35814766749999,113.46217969540001,116.09829792640001,119.6948567811,124.0608467972,127.5398634721,129.6147443336,131.0514016228,132.1732126512,132.8908047418,134.19561931159998,134.7100878233,133.9395388779,133.6909825027,131.0283212692
